event,event_time
HAA | OFA=HAA | CGO | OFA=CGO | CGO,2019-03-01 15:42:19 | 2019-03-01 15:42:19 | 2019-03-01 15:43:59 | 2019-03-01 15:43:59 | 2019-03-01 15:44:15
HAA | OFA=HAA | HAA | HAA | HAA | HAA | HAA | CGO | OFA=CGO,2019-03-02 15:44:24 | 2019-03-02 15:44:24 | 2019-03-02 15:44:54 | 2019-03-02 15:45:24 | 2019-03-02 15:45:43 | 2019-03-02 15:45:59 | 2019-03-02 15:46:29 | 2019-03-02 15:47:06 | 2019-03-02 15:47:06
HAA | OFA=HAA | HAA | HAA | HAA | HAA | HAA,2019-03-03 15:55:50 | 2019-03-03 15:55:50 | 2019-03-03 15:56:22 | 2019-03-03 15:56:38 | 2019-03-03 15:57:08 | 2019-03-03 15:57:39 | 2019-03-03 15:57:59
OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-03-04 16:02:54 | 2019-03-04 16:03:10 | 2019-03-04 16:03:40 | 2019-03-04 16:04:10 | 2019-03-04 16:04:28 | 2019-03-04 16:04:46 | 2019-03-04 16:05:19 | 2019-03-04 16:05:35 | 2019-03-04 16:05:56
HAA | OFA=HAA | HAA | OFA=HAA | HAA | CGO | OFA=CGO,2019-03-05 15:54:55 | 2019-03-05 15:54:55 | 2019-03-05 15:55:42 | 2019-03-05 15:55:42 | 2019-03-05 15:55:58 | 2019-03-05 15:56:38 | 2019-03-05 15:56:38
HAA | OFA=HAA | HAA | HAA | HAA | HAA,2019-03-06 15:46:18 | 2019-03-06 15:46:18 | 2019-03-06 15:46:34 | 2019-03-06 15:47:05 | 2019-03-06 15:47:35 | 2019-03-06 15:48:05
HAA | OFA=HAA | HAA | HAA | HAA | CGO | OFA=CGO,2019-03-07 15:36:23 | 2019-03-07 15:36:23 | 2019-03-07 15:36:55 | 2019-03-07 15:37:12 | 2019-03-07 15:38:11 | 2019-03-07 15:39:04 | 2019-03-07 15:39:04
CGO | OFA=CGO,2019-03-08 15:39:10 | 2019-03-08 15:39:10
HAA | OFA=HAA | HAA | HAA | HAA | HAA | CGO | OFA=CGO,2019-03-09 15:32:48 | 2019-03-09 15:32:48 | 2019-03-09 15:33:18 | 2019-03-09 15:33:50 | 2019-03-09 15:34:23 | 2019-03-09 15:35:07 | 2019-03-09 15:35:42 | 2019-03-09 15:35:42
OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-03-10 15:42:14 | 2019-03-10 15:42:44 | 2019-03-10 15:43:15 | 2019-03-10 15:43:45 | 2019-03-10 15:44:12 | 2019-03-10 15:44:28 | 2019-03-10 15:44:45 | 2019-03-10 15:45:03
